set_name,coarse_label,tissue,n_cells,n_donors,mean,median,sd,metric,evidence_tier
FOXP3,Treg,peripheral_blood,13603.0,7.0,1.22736704,1.27833974,0.961989812,log_normalised_expression,secondary_percell
FOXP3,Treg,synovial_fluid,13572.0,6.0,2.15904811,2.37900519,0.995396644,log_normalised_expression,secondary_percell
IL2RA,Treg,peripheral_blood,13603.0,7.0,0.750954961,0.820919514,0.77486191,log_normalised_expression,secondary_percell
IL2RA,Treg,synovial_fluid,13572.0,6.0,1.54095853,1.57994288,1.0473277,log_normalised_expression,secondary_percell
CTLA4,Treg,peripheral_blood,13603.0,7.0,0.696575981,0.529641867,0.762980463,log_normalised_expression,secondary_percell
CTLA4,Treg,synovial_fluid,13572.0,6.0,1.33393417,1.42608911,0.856582796,log_normalised_expression,secondary_percell
IKZF2,Treg,peripheral_blood,13603.0,7.0,0.646728339,0.0,0.734808844,log_normalised_expression,secondary_percell
IKZF2,Treg,synovial_fluid,13572.0,6.0,0.704105761,0.759316772,0.702211396,log_normalised_expression,secondary_percell
WT_heat_up,Treg,peripheral_blood,13603.0,7.0,0.011086363,0.010716348,0.00537835021,AUCell,secondary_percell
WT_heat_up,Treg,synovial_fluid,13572.0,6.0,0.0187676418,0.0183955482,0.00708085537,AUCell,secondary_percell
KO_heat_up,Treg,peripheral_blood,13603.0,7.0,0.0108424997,0.0104741905,0.00521584577,AUCell,secondary_percell
KO_heat_up,Treg,synovial_fluid,13572.0,6.0,0.0187610662,0.018174276,0.00728897077,AUCell,secondary_percell
Interaction_up,Treg,peripheral_blood,13603.0,7.0,0.0716562626,0.0524996702,0.0831208549,AUCell,secondary_percell
Interaction_up,Treg,synovial_fluid,13572.0,6.0,0.12453881,0.0987996307,0.114826393,AUCell,secondary_percell
HALLMARK_HYPOXIA,Treg,peripheral_blood,13603.0,7.0,0.0717934385,0.0714426516,0.0134459812,AUCell,secondary_percell
HALLMARK_HYPOXIA,Treg,synovial_fluid,13572.0,6.0,0.0950220171,0.09473121,0.0143911034,AUCell,secondary_percell
HSR_core,Treg,peripheral_blood,13603.0,7.0,0.0988780056,0.0985882353,0.0265749332,AUCell,secondary_percell
HSR_core,Treg,synovial_fluid,13572.0,6.0,0.107541974,0.106352941,0.0289432797,AUCell,secondary_percell
eTreg_up,Treg,peripheral_blood,13603.0,7.0,0.0190223106,0.0180404624,0.0104830104,AUCell,secondary_percell
eTreg_up,Treg,synovial_fluid,13572.0,6.0,0.0668128577,0.0652716763,0.0229471611,AUCell,secondary_percell
